City Name,Country Code,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Dikson,RU,73.5069,80.5464,-14.35,92,100,1.49,18/04/2022
Bluff,NZ,-46.6,168.3333,17.11,66,84,1.29,18/04/2022
Beloha,MG,-25.1667,45.05,22.46,92,100,3.06,18/04/2022
Busselton,AU,-33.65,115.3333,18.39,59,95,2.44,18/04/2022
Mataura,NZ,-46.1927,168.8643,16.93,54,42,0.98,18/04/2022
Jamestown,US,42.097,-79.2353,0.57,58,0,2.57,18/04/2022
Pisco,PE,-13.7,-76.2167,17.79,82,0,4.12,18/04/2022
Mahébourg,MU,-20.4081,57.7,25.7,100,40,2.57,18/04/2022
Tuktoyaktuk,CA,69.4541,-133.0374,-14.31,95,90,2.71,18/04/2022
Lompoc,US,34.6391,-120.4579,13.09,87,0,4.12,18/04/2022
Fryanovo,RU,56.1333,38.45,0.56,78,11,2.81,18/04/2022
Vaini,TO,-21.2,-175.2,29.09,79,75,2.57,18/04/2022
Saskylakh,RU,71.9167,114.0833,-0.81,97,100,3.11,18/04/2022
Byron Bay,AU,-28.65,153.6167,23.86,60,53,3.28,18/04/2022
Saýat,TM,38.7839,63.8803,19.11,45,100,6.02,18/04/2022
Nikolskoye,RU,59.7035,30.7861,3.22,73,99,1.31,18/04/2022
Ushuaia,AR,-54.8,-68.3,6.81,81,20,6.69,18/04/2022
Faya,SA,18.3851,42.4509,16.29,32,10,1.89,18/04/2022
Vila Franca do Campo,PT,37.7167,-25.4333,14.23,71,78,5.79,18/04/2022
Hobart,AU,-42.8794,147.3294,16.26,64,75,2.06,18/04/2022
Qaanaaq,GL,77.484,-69.3632,-29.63,68,0,3.17,18/04/2022
Kargasok,RU,59.0556,80.8572,-0.74,61,58,4.49,18/04/2022
Rikitea,PF,-23.1203,-134.9692,25.81,63,3,3.89,18/04/2022
Bambous Virieux,MU,-20.3428,57.7575,25.68,100,40,2.57,18/04/2022
Cape Town,ZA,-33.9258,18.4232,15.51,83,92,5.36,18/04/2022
Hualmay,PE,-11.0964,-77.6139,18.78,87,16,3.08,18/04/2022
